cluster_id,label,lat,lon,capacity_gw,share_pct,n_facilities,top_state,top_egrid,ci_lo,ci_hi
3,Dallas–Fort Worth,3692.5131923076924,-7191.432901170772,3.25,31.831537708129286,32,TX,ERCT,2.9603183830020146,33.198457862048
2,Northern Virginia,4347.33763960396,-6668.503417325784,2.525,24.730656219392753,23,VA,SRVC,2.9790792346040513,35.02510154583441
4,Chicago Metro,4615.681340206185,-6433.255073039864,1.455,14.25073457394711,17,IL,RFCW,2.6389053657811052,29.542473813526435
1,Pacific Northwest,5023.224272727272,-6054.498919475669,0.88,8.619000979431929,6,OR,NWPP,4.444334813353067,38.59829843392531
0,Atlanta,3945.570608695652,-6997.989636323719,0.69,6.758080313418217,6,NC,AZNM,3.2069087950456843,38.36083602935374
7,SF Bay Area,4120.980755905512,-6857.60843469097,0.635,6.219392752203722,7,CA,CAMX,1.2169966305131341,22.024328446191863
6,Portland,5245.613634146342,-5837.538011115199,0.41,4.015670910871695,3,WA,NWPP,1.3622088722939707,22.599590691156006
5,Austin,3295.6325753424658,-7471.736234337994,0.365,3.574926542605289,4,TX,ERCT,1.7059599391934184,24.828335949427878
