market,egrid_subrgn,capacity_gw,cap_share_pct,co2_g_kwh,renewable_frac,n_facilities,top_state
Dallas–Fort Worth,ERCT,3.25,31.83153770812929,390.08912,34.8,32,TX
Northern Virginia,SRVC,2.525,24.730656219392753,381.01727999999997,14.8,23,VA
Chicago Metro,RFCW,1.455,14.25073457394711,480.80751999999995,19.7,17,IL
Pacific Northwest,NWPP,0.88,8.619000979431929,176.90088,72.1,6,OR
Atlanta,AZNM,0.69,6.758080313418217,471.73568,12.4,6,NC
SF Bay Area,CAMX,0.635,6.219392752203722,240.40375999999998,58.3,7,CA
Portland,NWPP,0.41,4.015670910871695,176.90088,72.1,3,WA
Austin,ERCT,0.365,3.574926542605289,390.08912,34.8,4,TX
