market,egrid_subrgn,capacity_gw,cap_share_pct,co2_g_kwh,renewable_frac,n_facilities,top_state,weighted_co2,dc_growth_pct,tx_headroom,G_norm,C_norm,H_norm,R_norm,dcgsi
Northern Virginia,SRVC,2.525,24.730656219392753,381.01727999999997,14.8,23,VA,94.22807365328109,12.4,0.15,1.0,0.7487001733102252,0.0,0.040201005025125636,9.27124792071275
Dallas–Fort Worth,ERCT,3.25,31.83153770812929,390.08912,34.8,32,TX,124.1713653281097,8.7,0.15,0.6407766990291262,1.0,0.0,0.37520938023450584,8.16391829698655
Atlanta,AZNM,0.69,6.758080313418217,471.73568,12.4,6,NC,31.88027612144956,6.3,0.15,0.40776699029126207,0.11265164644714035,0.0,0.0,6.3010465918460055
Chicago Metro,RFCW,1.455,14.25073457394711,480.80751999999995,19.7,17,IL,68.51860348677768,4.2,0.15,0.20388349514563106,0.3778162911611784,0.0,0.12227805695142378,6.148554323388464
Austin,ERCT,0.365,3.574926542605289,390.08912,34.8,4,TX,13.945399490695397,3.0,0.15,0.08737864077669902,0.0,0.0,0.37520938023450584,4.280423151355483
SF Bay Area,CAMX,0.635,6.219392752203722,240.40375999999998,58.3,7,CA,14.95165402546523,2.8,0.15,0.06796116504854366,0.09358752166377814,0.0,0.7688442211055276,3.4817611640169854
Pacific Northwest,NWPP,0.88,8.619000979431929,176.90088,72.1,6,OR,15.247088579823705,2.1,0.15,0.0,0.17850953206239165,0.0,1.0,2.946273830155979
Portland,NWPP,0.41,4.015670910871695,176.90088,72.1,3,WA,7.103757179236043,3.0,0.15,0.08737864077669902,0.015597920277296356,0.0,1.0,2.7574414026349885
